word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)	context1	context2
body	spine	N	4.78	4.79	4.88	4	0.19	0	1.22	The word 'body' is often used in phrases such as 'The body solution' or 'The body idea.'	The word 'spine' is often used in phrases such as 'The spine method' or 'The spine approach.'
head	nail	N	2.47	4.75	4.93	4	0.19	0	1.4	The word 'head' is often used in phrases such as 'The head solution' or 'The head idea.'	The word 'nail' is often used in phrases such as 'The nail method' or 'The nail approach.'
log	timber	N	8.05	4.96	4.9	4	0.19	0	1.12	The word 'log' is often used in phrases such as 'The log solution' or 'The log idea.'	The word 'timber' is often used in phrases such as 'The timber method' or 'The timber approach.'
spoon	cup	N	2.02	4.96	5.0	4	0.19	0	0.9	The word 'spoon' is often used in phrases such as 'The spoon solution' or 'The spoon idea.'	The word 'cup' is often used in phrases such as 'The cup method' or 'The cup approach.'
body	nerve	N	3.13	4.79	3.89	3	0.18	0	1.12	The word 'body' is often used in phrases such as 'The body solution' or 'The body idea.'	The word 'nerve' is often used in phrases such as 'The nerve method' or 'The nerve approach.'
man	husband	N	5.32	4.79	4.11	3	0.18	0	1.71	The word 'man' is often used in phrases such as 'The man solution' or 'The man idea.'	The word 'husband' is often used in phrases such as 'The husband method' or 'The husband approach.'
bone	neck	N	2.53	4.9	5.0	4	0.18	0	1.05	The word 'bone' is often used in phrases such as 'The bone solution' or 'The bone idea.'	The word 'neck' is often used in phrases such as 'The neck method' or 'The neck approach.'
frustration	anger	N	6.5	2.06	2.41	1	0.17	0	0.39	The word 'frustration' is often used in phrases such as 'The frustration solution' or 'The frustration idea.'	The word 'anger' is often used in phrases such as 'The anger method' or 'The anger approach.'
river	sea	N	5.72	4.89	4.79	4	0.17	0	0.39	The word 'river' is often used in phrases such as 'The river solution' or 'The river idea.'	The word 'sea' is often used in phrases such as 'The sea method' or 'The sea approach.'
task	job	N	8.87	2.84	3.19	2	0.16	0	1.75	The word 'task' is often used in phrases such as 'The task solution' or 'The task idea.'	The word 'job' is often used in phrases such as 'The job method' or 'The job approach.'
club	society	N	5.23	3.78	2.54	2	0.16	0	1.59	The word 'club' is often used in phrases such as 'The club solution' or 'The club idea.'	The word 'society' is often used in phrases such as 'The society method' or 'The society approach.'
reflection	image	N	7.27	3.29	3.85	2	0.16	0	1.06	The word 'reflection' is often used in phrases such as 'The reflection solution' or 'The reflection idea.'	The word 'image' is often used in phrases such as 'The image method' or 'The image approach.'
prince	king	N	5.92	4.44	4.1	3	0.16	0	1.05	The word 'prince' is often used in phrases such as 'The prince solution' or 'The prince idea.'	The word 'king' is often used in phrases such as 'The king method' or 'The king approach.'
snow	weather	N	5.48	4.85	3.83	3	0.16	0	1.36	The word 'snow' is often used in phrases such as 'The snow solution' or 'The snow idea.'	The word 'weather' is often used in phrases such as 'The weather method' or 'The weather approach.'
people	party	N	2.2	4.82	3.89	3	0.16	0	1.42	The word 'people' is often used in phrases such as 'The people solution' or 'The people idea.'	The word 'party' is often used in phrases such as 'The party method' or 'The party approach.'
boy	brother	N	6.67	4.76	4.43	3	0.16	0	1.58	The word 'boy' is often used in phrases such as 'The boy solution' or 'The boy idea.'	The word 'brother' is often used in phrases such as 'The brother method' or 'The brother approach.'
root	grass	N	3.55	4.34	4.93	3	0.16	0	1.35	The word 'root' is often used in phrases such as 'The root solution' or 'The root idea.'	The word 'grass' is often used in phrases such as 'The grass method' or 'The grass approach.'
brow	eye	N	3.82	4.39	4.9	3	0.16	0	1.41	The word 'brow' is often used in phrases such as 'The brow solution' or 'The brow idea.'	The word 'eye' is often used in phrases such as 'The eye method' or 'The eye approach.'
money	pearl	N	2.1	4.54	4.87	3	0.16	0	1.94	The word 'money' is often used in phrases such as 'The money solution' or 'The money idea.'	The word 'pearl' is often used in phrases such as 'The pearl method' or 'The pearl approach.'
money	diamond	N	3.42	4.54	4.89	3	0.16	0	1.37	The word 'money' is often used in phrases such as 'The money solution' or 'The money idea.'	The word 'diamond' is often used in phrases such as 'The diamond method' or 'The diamond approach.'
vehicle	bus	N	6.47	4.64	4.9	4	0.16	0	1.38	The word 'vehicle' is often used in phrases such as 'The vehicle solution' or 'The vehicle idea.'	The word 'bus' is often used in phrases such as 'The bus method' or 'The bus approach.'
cab	bus	N	5.6	4.88	4.9	4	0.16	0	1.64	The word 'cab' is often used in phrases such as 'The cab solution' or 'The cab idea.'	The word 'bus' is often used in phrases such as 'The bus method' or 'The bus approach.'
house	barn	N	4.33	5.0	4.79	4	0.16	0	1.6	The word 'house' is often used in phrases such as 'The house solution' or 'The house idea.'	The word 'barn' is often used in phrases such as 'The barn method' or 'The barn approach.'
finger	palm	N	3.33	5.0	4.83	4	0.16	0	1.5	The word 'finger' is often used in phrases such as 'The finger solution' or 'The finger idea.'	The word 'palm' is often used in phrases such as 'The palm method' or 'The palm approach.'
car	bridge	N	0.95	4.89	4.97	4	0.16	0	1.2	The word 'car' is often used in phrases such as 'The car solution' or 'The car idea.'	The word 'bridge' is often used in phrases such as 'The bridge method' or 'The bridge approach.'
effort	difficulty	N	4.45	2.33	1.9	1	0.15	0	1.22	The word 'effort' is often used in phrases such as 'The effort solution' or 'The effort idea.'	The word 'difficulty' is often used in phrases such as 'The difficulty method' or 'The difficulty approach.'
fact	insight	N	4.77	2.72	1.72	1	0.15	0	1.11	The word 'fact' is often used in phrases such as 'The fact solution' or 'The fact idea.'	The word 'insight' is often used in phrases such as 'The insight method' or 'The insight approach.'
job	management	N	3.97	3.19	2.72	2	0.15	0	1.33	The word 'job' is often used in phrases such as 'The job solution' or 'The job idea.'	The word 'management' is often used in phrases such as 'The management method' or 'The management approach.'
cancer	sickness	N	7.93	3.86	3.45	2	0.15	0	1.57	The word 'cancer' is often used in phrases such as 'The cancer solution' or 'The cancer idea.'	The word 'sickness' is often used in phrases such as 'The sickness method' or 'The sickness approach.'
word	newspaper	N	2.47	3.56	4.82	3	0.15	0	0.94	The word 'word' is often used in phrases such as 'The word solution' or 'The word idea.'	The word 'newspaper' is often used in phrases such as 'The newspaper method' or 'The newspaper approach.'
composer	writer	N	6.58	4.37	4.32	3	0.15	0	0.8	The word 'composer' is often used in phrases such as 'The composer solution' or 'The composer idea.'	The word 'writer' is often used in phrases such as 'The writer method' or 'The writer approach.'
actor	singer	N	4.52	4.57	4.62	3	0.15	0	1.26	The word 'actor' is often used in phrases such as 'The actor solution' or 'The actor idea.'	The word 'singer' is often used in phrases such as 'The singer method' or 'The singer approach.'
shelter	hut	N	6.47	4.64	4.65	3	0.15	0	1.59	The word 'shelter' is often used in phrases such as 'The shelter solution' or 'The shelter idea.'	The word 'hut' is often used in phrases such as 'The hut method' or 'The hut approach.'
bathroom	kitchen	N	3.1	4.52	4.97	4	0.15	0	1.22	The word 'bathroom' is often used in phrases such as 'The bathroom solution' or 'The bathroom idea.'	The word 'kitchen' is often used in phrases such as 'The kitchen method' or 'The kitchen approach.'
cabin	hut	N	6.53	4.92	4.65	4	0.15	0	1.37	The word 'cabin' is often used in phrases such as 'The cabin solution' or 'The cabin idea.'	The word 'hut' is often used in phrases such as 'The hut method' or 'The hut approach.'
door	kitchen	N	1.67	4.81	4.97	4	0.15	0	0.44	The word 'door' is often used in phrases such as 'The door solution' or 'The door idea.'	The word 'kitchen' is often used in phrases such as 'The kitchen method' or 'The kitchen approach.'
value	belief	N	7.07	1.62	1.19	1	0.14	0	0.95	The word 'value' is often used in phrases such as 'The value solution' or 'The value idea.'	The word 'belief' is often used in phrases such as 'The belief method' or 'The belief approach.'
wisdom	intelligence	N	7.47	1.53	2.24	1	0.14	0	1.33	The word 'wisdom' is often used in phrases such as 'The wisdom solution' or 'The wisdom idea.'	The word 'intelligence' is often used in phrases such as 'The intelligence method' or 'The intelligence approach.'
ignorance	intelligence	N	1.5	1.6	2.24	1	0.14	0	1.3	The word 'ignorance' is often used in phrases such as 'The ignorance solution' or 'The ignorance idea.'	The word 'intelligence' is often used in phrases such as 'The intelligence method' or 'The intelligence approach.'
happiness	luck	N	2.38	2.6	1.33	1	0.14	0	1.2	The word 'happiness' is often used in phrases such as 'The happiness solution' or 'The happiness idea.'	The word 'luck' is often used in phrases such as 'The luck method' or 'The luck approach.'
idea	scheme	N	6.75	1.61	2.41	1	0.14	0	1.47	The word 'idea' is often used in phrases such as 'The idea solution' or 'The idea idea.'	The word 'scheme' is often used in phrases such as 'The scheme method' or 'The scheme approach.'
mood	emotion	N	8.12	1.75	2.44	1	0.14	0	1.64	The word 'mood' is often used in phrases such as 'The mood solution' or 'The mood idea.'	The word 'emotion' is often used in phrases such as 'The emotion method' or 'The emotion approach.'
happiness	peace	N	6.03	2.6	1.62	1	0.14	0	1.35	The word 'happiness' is often used in phrases such as 'The happiness solution' or 'The happiness idea.'	The word 'peace' is often used in phrases such as 'The peace method' or 'The peace approach.'
despair	misery	N	7.22	2.21	2.04	1	0.14	0	1.06	The word 'despair' is often used in phrases such as 'The despair solution' or 'The despair idea.'	The word 'misery' is often used in phrases such as 'The misery method' or 'The misery approach.'
logic	arithmetic	N	3.97	1.72	2.74	1	0.14	0	1.81	The word 'logic' is often used in phrases such as 'The logic solution' or 'The logic idea.'	The word 'arithmetic' is often used in phrases such as 'The arithmetic method' or 'The arithmetic approach.'
denial	confession	N	1.03	2.46	2.4	1	0.14	0	1.64	The word 'denial' is often used in phrases such as 'The denial solution' or 'The denial idea.'	The word 'confession' is often used in phrases such as 'The confession method' or 'The confession approach.'
argument	criticism	N	5.08	2.85	2.07	1	0.14	0	1.07	The word 'argument' is often used in phrases such as 'The argument solution' or 'The argument idea.'	The word 'criticism' is often used in phrases such as 'The criticism method' or 'The criticism approach.'
aggression	hostility	N	8.48	2.68	2.24	1	0.14	0	0.44	The word 'aggression' is often used in phrases such as 'The aggression solution' or 'The aggression idea.'	The word 'hostility' is often used in phrases such as 'The hostility method' or 'The hostility approach.'
hysteria	confusion	N	6.33	2.86	2.24	1	0.14	0	0.44	The word 'hysteria' is often used in phrases such as 'The hysteria solution' or 'The hysteria idea.'	The word 'confusion' is often used in phrases such as 'The confusion method' or 'The confusion approach.'
chemistry	theory	N	3.17	3.64	1.47	1	0.14	0	1.4	The word 'chemistry' is often used in phrases such as 'The chemistry solution' or 'The chemistry idea.'	The word 'theory' is often used in phrases such as 'The theory method' or 'The theory approach.'
trial	verdict	N	3.33	3.07	2.19	2	0.14	0	1.18	The word 'trial' is often used in phrases such as 'The trial solution' or 'The trial idea.'	The word 'verdict' is often used in phrases such as 'The verdict method' or 'The verdict approach.'
comfort	safety	N	5.8	2.89	2.37	2	0.14	0	1.21	The word 'comfort' is often used in phrases such as 'The comfort solution' or 'The comfort idea.'	The word 'safety' is often used in phrases such as 'The safety method' or 'The safety approach.'
confidence	self	N	3.12	2.17	3.1	2	0.14	0	1.24	The word 'confidence' is often used in phrases such as 'The confidence solution' or 'The confidence idea.'	The word 'self' is often used in phrases such as 'The self method' or 'The self approach.'
vision	perception	N	6.88	3.39	2.0	2	0.14	0	1.31	The word 'vision' is often used in phrases such as 'The vision solution' or 'The vision idea.'	The word 'perception' is often used in phrases such as 'The perception method' or 'The perception approach.'
era	decade	N	5.4	2.24	3.19	2	0.14	0	1.02	The word 'era' is often used in phrases such as 'The era solution' or 'The era idea.'	The word 'decade' is often used in phrases such as 'The decade method' or 'The decade approach.'
biography	fiction	N	1.38	3.39	2.14	2	0.14	0	1.24	The word 'biography' is often used in phrases such as 'The biography solution' or 'The biography idea.'	The word 'fiction' is often used in phrases such as 'The fiction method' or 'The fiction approach.'
discussion	argument	N	5.48	3.07	2.85	2	0.14	0	1.43	The word 'discussion' is often used in phrases such as 'The discussion solution' or 'The discussion idea.'	The word 'argument' is often used in phrases such as 'The argument method' or 'The argument approach.'
code	symbol	N	6.03	3.0	3.11	2	0.14	0	1.67	The word 'code' is often used in phrases such as 'The code solution' or 'The code idea.'	The word 'symbol' is often used in phrases such as 'The symbol method' or 'The symbol approach.'
danger	disease	N	3.0	2.68	3.45	2	0.14	0	0.44	The word 'danger' is often used in phrases such as 'The danger solution' or 'The danger idea.'	The word 'disease' is often used in phrases such as 'The disease method' or 'The disease approach.'
accident	catastrophe	N	5.9	3.26	2.96	2	0.14	0	1.63	The word 'accident' is often used in phrases such as 'The accident solution' or 'The accident idea.'	The word 'catastrophe' is often used in phrases such as 'The catastrophe method' or 'The catastrophe approach.'
journey	trip	N	8.88	2.57	3.71	2	0.14	0	1.14	The word 'journey' is often used in phrases such as 'The journey solution' or 'The journey idea.'	The word 'trip' is often used in phrases such as 'The trip method' or 'The trip approach.'
activity	movement	N	7.15	2.72	3.63	2	0.14	0	1.1	The word 'activity' is often used in phrases such as 'The activity solution' or 'The activity idea.'	The word 'movement' is often used in phrases such as 'The movement method' or 'The movement approach.'
gossip	news	N	5.22	3.0	3.41	2	0.14	0	1.21	The word 'gossip' is often used in phrases such as 'The gossip solution' or 'The gossip idea.'	The word 'news' is often used in phrases such as 'The news method' or 'The news approach.'
father	god	N	3.57	4.52	2.07	2	0.14	0	1.31	The word 'father' is often used in phrases such as 'The father solution' or 'The father idea.'	The word 'god' is often used in phrases such as 'The god method' or 'The god approach.'
action	course	N	5.45	2.86	3.82	2	0.14	0	1.75	The word 'action' is often used in phrases such as 'The action solution' or 'The action idea.'	The word 'course' is often used in phrases such as 'The course method' or 'The course approach.'
fever	illness	N	7.65	3.27	3.54	2	0.14	0	1.54	The word 'fever' is often used in phrases such as 'The fever solution' or 'The fever idea.'	The word 'illness' is often used in phrases such as 'The illness method' or 'The illness approach.'
aviation	flight	N	8.18	3.39	3.9	2	0.14	0	1.83	The word 'aviation' is often used in phrases such as 'The aviation solution' or 'The aviation idea.'	The word 'flight' is often used in phrases such as 'The flight method' or 'The flight approach.'
game	action	N	4.85	4.5	2.86	2	0.14	0	1.12	The word 'game' is often used in phrases such as 'The game solution' or 'The game idea.'	The word 'action' is often used in phrases such as 'The action method' or 'The action approach.'
molecule	air	N	3.05	3.27	4.11	2	0.14	0	1.84	The word 'molecule' is often used in phrases such as 'The molecule solution' or 'The molecule idea.'	The word 'air' is often used in phrases such as 'The air method' or 'The air approach.'
home	state	N	2.58	4.11	3.52	3	0.14	0	1.6	The word 'home' is often used in phrases such as 'The home solution' or 'The home idea.'	The word 'state' is often used in phrases such as 'The state method' or 'The state approach.'
word	literature	N	4.77	3.56	4.1	3	0.14	0	0.59	The word 'word' is often used in phrases such as 'The word solution' or 'The word idea.'	The word 'literature' is often used in phrases such as 'The literature method' or 'The literature approach.'
adult	guardian	N	6.9	4.4	3.28	3	0.14	0	1.19	The word 'adult' is often used in phrases such as 'The adult solution' or 'The adult idea.'	The word 'guardian' is often used in phrases such as 'The guardian method' or 'The guardian approach.'
newspaper	information	N	5.65	4.82	2.87	3	0.14	0	1.31	The word 'newspaper' is often used in phrases such as 'The newspaper solution' or 'The newspaper idea.'	The word 'information' is often used in phrases such as 'The information method' or 'The information approach.'
communication	television	N	5.6	2.9	4.83	3	0.14	0	1.27	The word 'communication' is often used in phrases such as 'The communication solution' or 'The communication idea.'	The word 'television' is often used in phrases such as 'The television method' or 'The television approach.'
cousin	uncle	N	4.63	3.7	4.24	3	0.14	0	1.84	The word 'cousin' is often used in phrases such as 'The cousin solution' or 'The cousin idea.'	The word 'uncle' is often used in phrases such as 'The uncle method' or 'The uncle approach.'
author	reader	N	1.6	4.26	3.89	3	0.14	0	1.47	The word 'author' is often used in phrases such as 'The author solution' or 'The author idea.'	The word 'reader' is often used in phrases such as 'The reader method' or 'The reader approach.'
guy	partner	N	3.57	4.68	3.53	3	0.14	0	1.24	The word 'guy' is often used in phrases such as 'The guy solution' or 'The guy idea.'	The word 'partner' is often used in phrases such as 'The partner method' or 'The partner approach.'
area	corner	N	2.07	3.72	4.61	3	0.14	0	1.41	The word 'area' is often used in phrases such as 'The area solution' or 'The area idea.'	The word 'corner' is often used in phrases such as 'The corner method' or 'The corner approach.'
ballad	song	N	7.53	3.88	4.46	3	0.14	0	0.84	The word 'ballad' is often used in phrases such as 'The ballad solution' or 'The ballad idea.'	The word 'song' is often used in phrases such as 'The song method' or 'The song approach.'
wall	decoration	N	2.62	4.86	3.53	3	0.14	0	0.89	The word 'wall' is often used in phrases such as 'The wall solution' or 'The wall idea.'	The word 'decoration' is often used in phrases such as 'The decoration method' or 'The decoration approach.'
word	page	N	2.92	3.56	4.9	3	0.14	0	0.99	The word 'word' is often used in phrases such as 'The word solution' or 'The word idea.'	The word 'page' is often used in phrases such as 'The page method' or 'The page approach.'
nurse	scientist	N	2.08	4.39	4.24	3	0.14	0	1.06	The word 'nurse' is often used in phrases such as 'The nurse solution' or 'The nurse idea.'	The word 'scientist' is often used in phrases such as 'The scientist method' or 'The scientist approach.'
politician	president	N	7.38	4.33	4.4	3	0.14	0	1.05	The word 'politician' is often used in phrases such as 'The politician solution' or 'The politician idea.'	The word 'president' is often used in phrases such as 'The president method' or 'The president approach.'
president	mayor	N	5.68	4.4	4.37	3	0.14	0	1.4	The word 'president' is often used in phrases such as 'The president solution' or 'The president idea.'	The word 'mayor' is often used in phrases such as 'The mayor method' or 'The mayor approach.'
book	essay	N	4.72	4.9	3.97	3	0.14	0	1.3	The word 'book' is often used in phrases such as 'The book solution' or 'The book idea.'	The word 'essay' is often used in phrases such as 'The essay method' or 'The essay approach.'
man	warrior	N	4.72	4.79	4.17	3	0.14	0	1.03	The word 'man' is often used in phrases such as 'The man solution' or 'The man idea.'	The word 'warrior' is often used in phrases such as 'The warrior method' or 'The warrior approach.'
article	journal	N	6.18	4.33	4.63	3	0.14	0	1.45	The word 'article' is often used in phrases such as 'The article solution' or 'The article idea.'	The word 'journal' is often used in phrases such as 'The journal method' or 'The journal approach.'
breakfast	supper	N	4.4	4.43	4.63	3	0.14	0	1.47	The word 'breakfast' is often used in phrases such as 'The breakfast solution' or 'The breakfast idea.'	The word 'supper' is often used in phrases such as 'The supper method' or 'The supper approach.'
crowd	parade	N	3.93	4.52	4.54	3	0.14	0	1.05	The word 'crowd' is often used in phrases such as 'The crowd solution' or 'The crowd idea.'	The word 'parade' is often used in phrases such as 'The parade method' or 'The parade approach.'
aisle	hallway	N	6.75	4.35	4.74	3	0.14	0	1.36	The word 'aisle' is often used in phrases such as 'The aisle solution' or 'The aisle idea.'	The word 'hallway' is often used in phrases such as 'The hallway method' or 'The hallway approach.'
teacher	rabbi	N	4.37	4.52	4.64	3	0.14	0	1.12	The word 'teacher' is often used in phrases such as 'The teacher solution' or 'The teacher idea.'	The word 'rabbi' is often used in phrases such as 'The rabbi method' or 'The rabbi approach.'
hip	lip	N	1.43	4.21	4.96	3	0.14	0	1.45	The word 'hip' is often used in phrases such as 'The hip solution' or 'The hip idea.'	The word 'lip' is often used in phrases such as 'The lip method' or 'The lip approach.'
book	article	N	5.43	4.9	4.33	3	0.14	0	0.95	The word 'book' is often used in phrases such as 'The book solution' or 'The book idea.'	The word 'article' is often used in phrases such as 'The article method' or 'The article approach.'
room	cell	N	4.58	4.79	4.44	3	0.14	0	1.28	The word 'room' is often used in phrases such as 'The room solution' or 'The room idea.'	The word 'cell' is often used in phrases such as 'The cell method' or 'The cell approach.'
box	booth	N	3.8	4.9	4.42	3	0.14	0	1.38	The word 'box' is often used in phrases such as 'The box solution' or 'The box idea.'	The word 'booth' is often used in phrases such as 'The booth method' or 'The booth approach.'
daughter	kid	N	4.17	4.79	4.56	3	0.14	0	1.24	The word 'daughter' is often used in phrases such as 'The daughter solution' or 'The daughter idea.'	The word 'kid' is often used in phrases such as 'The kid method' or 'The kid approach.'
limb	leg	N	6.9	4.64	4.83	4	0.14	0	1.23	The word 'limb' is often used in phrases such as 'The limb solution' or 'The limb idea.'	The word 'leg' is often used in phrases such as 'The leg method' or 'The leg approach.'
liver	lung	N	2.7	4.68	4.82	4	0.14	0	1.38	The word 'liver' is often used in phrases such as 'The liver solution' or 'The liver idea.'	The word 'lung' is often used in phrases such as 'The lung method' or 'The lung approach.'
classroom	hallway	N	2.0	4.76	4.74	4	0.14	0	1.23	The word 'classroom' is often used in phrases such as 'The classroom solution' or 'The classroom idea.'	The word 'hallway' is often used in phrases such as 'The hallway method' or 'The hallway approach.'
mountain	ledge	N	3.73	4.96	4.72	4	0.14	0	1.21	The word 'mountain' is often used in phrases such as 'The mountain solution' or 'The mountain idea.'	The word 'ledge' is often used in phrases such as 'The ledge method' or 'The ledge approach.'
car	elevator	N	1.03	4.89	4.79	4	0.14	0	1.19	The word 'car' is often used in phrases such as 'The car solution' or 'The car idea.'	The word 'elevator' is often used in phrases such as 'The elevator method' or 'The elevator approach.'
bed	couch	N	3.42	5.0	4.71	4	0.14	0	1.85	The word 'bed' is often used in phrases such as 'The bed solution' or 'The bed idea.'	The word 'couch' is often used in phrases such as 'The couch method' or 'The couch approach.'
clothes	button	N	2.3	4.76	4.96	4	0.14	0	1.44	The word 'clothes' is often used in phrases such as 'The clothes solution' or 'The clothes idea.'	The word 'button' is often used in phrases such as 'The button method' or 'The button approach.'
clothes	coat	N	5.35	4.76	4.97	4	0.14	0	1.37	The word 'clothes' is often used in phrases such as 'The clothes solution' or 'The clothes idea.'	The word 'coat' is often used in phrases such as 'The coat method' or 'The coat approach.'
kidney	organ	N	6.17	4.96	4.77	4	0.14	0	0.95	The word 'kidney' is often used in phrases such as 'The kidney solution' or 'The kidney idea.'	The word 'organ' is often used in phrases such as 'The organ method' or 'The organ approach.'
apple	sauce	N	1.43	5.0	4.75	4	0.14	0	2.11	The word 'apple' is often used in phrases such as 'The apple solution' or 'The apple idea.'	The word 'sauce' is often used in phrases such as 'The sauce method' or 'The sauce approach.'
chicken	steak	N	3.73	4.8	4.96	4	0.14	0	1.39	The word 'chicken' is often used in phrases such as 'The chicken solution' or 'The chicken idea.'	The word 'steak' is often used in phrases such as 'The steak method' or 'The steak approach.'
car	hose	N	0.87	4.89	4.87	4	0.14	0	0.78	The word 'car' is often used in phrases such as 'The car solution' or 'The car idea.'	The word 'hose' is often used in phrases such as 'The hose method' or 'The hose approach.'
tobacco	cigarette	N	7.5	4.88	4.88	4	0.14	0	1.49	The word 'tobacco' is often used in phrases such as 'The tobacco solution' or 'The tobacco idea.'	The word 'cigarette' is often used in phrases such as 'The cigarette method' or 'The cigarette approach.'
student	professor	N	1.95	4.92	4.86	4	0.14	0	1.13	The word 'student' is often used in phrases such as 'The student solution' or 'The student idea.'	The word 'professor' is often used in phrases such as 'The professor method' or 'The professor approach.'
baby	daughter	N	5.0	5.0	4.79	4	0.14	0	1.29	The word 'baby' is often used in phrases such as 'The baby solution' or 'The baby idea.'	The word 'daughter' is often used in phrases such as 'The daughter method' or 'The daughter approach.'
pipe	cigar	N	6.03	4.88	4.93	4	0.14	0	1.01	The word 'pipe' is often used in phrases such as 'The pipe solution' or 'The pipe idea.'	The word 'cigar' is often used in phrases such as 'The cigar method' or 'The cigar approach.'
milk	juice	N	4.05	4.92	4.89	4	0.14	0	1.46	The word 'milk' is often used in phrases such as 'The milk solution' or 'The milk idea.'	The word 'juice' is often used in phrases such as 'The juice method' or 'The juice approach.'
box	cigar	N	1.25	4.9	4.93	4	0.14	0	1.89	The word 'box' is often used in phrases such as 'The box solution' or 'The box idea.'	The word 'cigar' is often used in phrases such as 'The cigar method' or 'The cigar approach.'
apartment	hotel	N	3.33	4.9	4.93	4	0.14	0	1.18	The word 'apartment' is often used in phrases such as 'The apartment solution' or 'The apartment idea.'	The word 'hotel' is often used in phrases such as 'The hotel method' or 'The hotel approach.'
cup	cone	N	3.17	5.0	4.86	4	0.14	0	1.13	The word 'cup' is often used in phrases such as 'The cup solution' or 'The cup idea.'	The word 'cone' is often used in phrases such as 'The cone method' or 'The cone approach.'
horse	ox	N	3.02	5.0	4.86	4	0.14	0	1.18	The word 'horse' is often used in phrases such as 'The horse solution' or 'The horse idea.'	The word 'ox' is often used in phrases such as 'The ox method' or 'The ox approach.'
throat	nose	N	2.8	4.97	4.89	4	0.14	0	1.12	The word 'throat' is often used in phrases such as 'The throat solution' or 'The throat idea.'	The word 'nose' is often used in phrases such as 'The nose method' or 'The nose approach.'
bone	teeth	N	4.17	4.9	4.96	4	0.14	0	1.92	The word 'bone' is often used in phrases such as 'The bone solution' or 'The bone idea.'	The word 'teeth' is often used in phrases such as 'The teeth method' or 'The teeth approach.'
bone	elbow	N	3.78	4.9	5.0	4	0.14	0	1.58	The word 'bone' is often used in phrases such as 'The bone solution' or 'The bone idea.'	The word 'elbow' is often used in phrases such as 'The elbow method' or 'The elbow approach.'
bacon	bean	N	1.22	4.9	5.0	4	0.14	0	0.92	The word 'bacon' is often used in phrases such as 'The bacon solution' or 'The bacon idea.'	The word 'bean' is often used in phrases such as 'The bean method' or 'The bean approach.'
cup	jar	N	5.13	5.0	5.0	4	0.14	0	1.17	The word 'cup' is often used in phrases such as 'The cup solution' or 'The cup idea.'	The word 'jar' is often used in phrases such as 'The jar method' or 'The jar approach.'
proof	fact	N	7.3	2.67	2.72	2	0.13	0	1.7	The word 'proof' is often used in phrases such as 'The proof solution' or 'The proof idea.'	The word 'fact' is often used in phrases such as 'The fact method' or 'The fact approach.'
appointment	engagement	N	6.75	3.0	2.75	2	0.13	0	1.59	The word 'appointment' is often used in phrases such as 'The appointment solution' or 'The appointment idea.'	The word 'engagement' is often used in phrases such as 'The engagement method' or 'The engagement approach.'
birthday	year	N	1.67	3.2	3.25	2	0.13	0	1.69	The word 'birthday' is often used in phrases such as 'The birthday solution' or 'The birthday idea.'	The word 'year' is often used in phrases such as 'The year method' or 'The year approach.'
word	clue	N	2.53	3.56	2.93	2	0.13	0	1.65	The word 'word' is often used in phrases such as 'The word solution' or 'The word idea.'	The word 'clue' is often used in phrases such as 'The clue method' or 'The clue approach.'
author	creator	N	8.02	4.26	3.07	2	0.13	0	1.5	The word 'author' is often used in phrases such as 'The author solution' or 'The author idea.'	The word 'creator' is often used in phrases such as 'The creator method' or 'The creator approach.'
atom	carbon	N	3.1	3.34	4.22	3	0.13	0	0.93	The word 'atom' is often used in phrases such as 'The atom solution' or 'The atom idea.'	The word 'carbon' is often used in phrases such as 'The carbon method' or 'The carbon approach.'
archbishop	bishop	N	7.05	4.14	4.21	3	0.13	0	1.59	The word 'archbishop' is often used in phrases such as 'The archbishop solution' or 'The archbishop idea.'	The word 'bishop' is often used in phrases such as 'The bishop method' or 'The bishop approach.'
letter	paragraph	N	4.0	4.7	3.96	3	0.13	0	1.12	The word 'letter' is often used in phrases such as 'The letter solution' or 'The letter idea.'	The word 'paragraph' is often used in phrases such as 'The paragraph method' or 'The paragraph approach.'
page	paragraph	N	3.03	4.9	3.96	3	0.13	0	1.37	The word 'page' is often used in phrases such as 'The page solution' or 'The page idea.'	The word 'paragraph' is often used in phrases such as 'The paragraph method' or 'The paragraph approach.'
steeple	chapel	N	7.08	4.74	4.6	3	0.13	0	1.03	The word 'steeple' is often used in phrases such as 'The steeple solution' or 'The steeple idea.'	The word 'chapel' is often used in phrases such as 'The chapel method' or 'The chapel approach.'
muscle	bone	N	3.65	4.5	4.9	3	0.13	0	1.68	The word 'muscle' is often used in phrases such as 'The muscle solution' or 'The muscle idea.'	The word 'bone' is often used in phrases such as 'The bone method' or 'The bone approach.'
muscle	tongue	N	5.0	4.5	4.93	3	0.13	0	1.65	The word 'muscle' is often used in phrases such as 'The muscle solution' or 'The muscle idea.'	The word 'tongue' is often used in phrases such as 'The tongue method' or 'The tongue approach.'
boy	soldier	N	2.15	4.76	4.72	4	0.13	0	1.51	The word 'boy' is often used in phrases such as 'The boy solution' or 'The boy idea.'	The word 'soldier' is often used in phrases such as 'The soldier method' or 'The soldier approach.'
